cps_year,occupation,sub_occupation_1,sub_occupation_2,total_number_employed_white,number_employed_white_per_100,total_number_employed_black,number_employed_black_per_100,total_number_employed_asian,number_employed_asian_per_100,total_number_employed_hispanic,number_employed_hispanic_per_100,acs_year
2024,Service occupations,Protective service occupations,First-line supervisors of firefighting and prevention workers,43524.00000000001,0.020639671818406022,5720.0,0.013927139148920317,0.0,0.0,1976.0,0.0031299703227808825,2023
2024,Service occupations,Protective service occupations,First-line supervisors of police and detectives,84563.99999999999,0.040101397106233026,17604.0,0.04286247510097785,324.0,0.0016741885443235475,19008.000000000004,0.030108540432904365,2023
2024,Service occupations,Protective service occupations,First-line supervisors of security workers,43820.0,0.02078003903783089,19600.000000000004,0.04772236491588082,1470.0,0.007595855432579059,7420.0,0.011753228641211613,2023
2024,Service occupations,Protective service occupations,Detectives and criminal investigators,121705.99999999999,0.057714637862579785,16157.0,0.03933929846662685,2567.0,0.0132643271397486,14798.0,0.023439929573133348,2023
2024,Service occupations,Protective service occupations,Crossing guards and flaggers,42504.0,0.02015597396768517,9016.0,0.02195228786130517,3248.0,0.016783223431984205,12040.0,0.01907127666309809,2023
2024,Service occupations,Protective service occupations,Private detectives and investigators,90594.00000000001,0.04296090498843569,27468.0,0.06687948568925582,3402.0000000000005,0.01757897971539725,15246.0,0.02414955847222537,2023
2024,Service occupations,Protective service occupations,Other protective service workers,152255.0,0.07220138849166916,10915.0,0.02657600066616526,5365.0,0.02772228870461677,33115.0,0.05245393078891139,2023
2024,Service occupations,Protective service occupations,Correctional officers and jailers,213091.99999999997,0.10105112000569283,86449.0,0.2104872818680092,5742.000000000001,0.02967034142440065,50402.0,0.07983641913400912,2023
2024,Service occupations,Protective service occupations,Firefighters,247936.00000000003,0.11757461795718029,29204.0,0.07110632372466241,10132.0,0.052354562750266,45892.0,0.072692610350739,2023
2024,Service occupations,Protective service occupations,Police officers,538332.0,0.25528434448456366,97632.00000000001,0.23771581282996307,21696.0,0.11210862548655459,132888.0,0.210493672193171,2023
2024,Service occupations,Protective service occupations,Security guards and gambling surveillance officers,487230.00000000006,0.23105108216344927,312006.0,0.7596767442828728,42912.0,0.22173697164818543,181482.0,0.28746623184155873,2023
2024,Service occupations,Protective service occupations,all,2192550.0,1.0397369829392087,668650.0,1.6280387398471277,99520.0,0.5142445800341958,547360.0,0.867014451354931,2023
2024,Sales and office occupations,Sales and related occupations,Sales engineers,,,,,,,,,2023
2024,Sales and office occupations,Sales and related occupations,Telemarketers,,,,,,,,,2023
2024,Sales and office occupations,Sales and related occupations,"Door-to-door sales workers, news and street vendors, and related workers",49600.0,0.023520993525249022,10850.0,0.026417737721291162,867.9999999999999,0.004485171779237158,15748.0,0.024944722997547235,2023
2024,Sales and office occupations,Sales and related occupations,Parts salespersons,111561.0,0.052903741102223914,5289.0,0.012877734083678243,2583.0,0.01334700311724606,19188.0,0.030393659187003833,2023
