"Low Wage, High Violation Industries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2024,,,,FY 2023,,,,FY 2022,,,,FY 2021,,,,FY 2020,,,,FY 2019,,,,FY 2018,,,,FY 2017,,,,FY 2016,,,,FY 2015,,,,FY 2014,,,,FY 2013,,,
,Compliance Actions,Back Wages,Employees Receiving Back Wages Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed
"Hair, Nail & Skin Care Services",50,"$78,203",67,$0,92,"$55,105 ",112,"$88,612 ",76,"$275,896 ",207,"$3,239 ",107,"$309,585 ",317,"$61,679 ",104,"$1,408,404 ","7,863","$1,810 ",181,"$650,912 ",581,"$53,307 ",151,"$392,043 ",341,"$9,746 ",209,"$510,182 ",469,"$18,788 ",224,"$562,096 ",502,"$6,611 ",164,"$2,332,502 ",521,$440 ,136,"$229,045 ",335,$935 ,151,"$240,857 ",513,"$9,086 "
Health Care,"2,376","$37,833,431","29,937","$2,838,251","2,492","$31,799,787 ","24,330","$2,057,090 ","2,431","$32,530,676 ","33,756","$1,488,778 ","2,555","$38,773,832 ","31,707","$1,039,154 ","2,661","$43,819,262 ","36,896","$753,014 ","3,096","$37,424,907 ","39,011","$1,367,428 ","3,354","$28,722,013 ","35,586","$579,623 ","2,948","$24,350,601 ","28,573","$858,669 ","2,703","$17,540,910 ","25,018","$416,466 ","2,586","$20,930,530 ","23,148","$471,868 ",2668,"$22,986,636 ",27126,"$681,792 ","2,882","$17,338,049 ","21,776","$559,833 "
Hotels and Motels,431,"$1,102,230","1,783","$402,075",544,"$2,494,921 ","3,256","$797,097 ",595,"$4,636,891 ","3,018","$474,954 ",602,"$2,445,609 ","3,099","$694,543 ",661,"$2,468,209 ","3,798","$697,889 ",971,"$3,677,439 ","6,400","$891,022 ",1296,"$9,346,636 ","24,432","$589,679 ","1,605","$5,450,510 ","8,302","$553,826 ","1,129","$3,947,847 ","6,222","$355,501 ",981,"$3,610,343 ","6,675","$325,524 ",1049,"$4,040,376 ",7420,"$325,077 ","1,245","$4,524,391 ","8,115","$339,591 "
Janitorial Services,325,"$3,473,597","3,612","$464,161",408,"$3,755,640 ","5,066","$1,620,032 ",339,"$3,397,300 ","1,295","$285,350 ",456,"$2,426,106 ","2,861","$119,085 ",474,"$3,549,014 ","3,257","$161,159 ",472,"$7,351,515 ","5,178","$76,778 ",520,"$5,641,983 ","6,663","$174,548 ",468,"$2,897,737 ","2,775","$363,462 ",523,"$3,670,600 ","5,636","$489,658 ",563,"$3,520,319 ","4,123","$72,713 ",523,"$3,902,434 ",4425,"$75,421 ",698,"$4,012,577 ","5,466","$40,772 "
Landscaping Services,197,"$4,014,501","2,142","$678,358",207,"$3,063,867 ","1,894","$840,388 ",252,"$2,670,300 ","1,947","$810,146 ",293,"$3,218,093 ","5,317","$1,144,818 ",243,"$2,418,168 ","1,941","$855,885 ",274,"$4,236,368 ","3,041","$752,115 ",292,"$3,465,225 ","3,053","$271,517 ",273,"$2,876,964 ","2,384","$132,695 ",294,"$3,051,189 ","3,058","$234,811 ",257,"$2,182,134 ","2,930","$162,386 ",322,"$3,708,711 ",2743,"$196,247 ",410,"$3,513,961 ","3,814","$278,999 "
Logistics,32,"$563,837",822,"$177,233",41,"$169,620 ",128,$0 ,42,"$604,674 ",531,"$27,910 ",82,"$485,803 ",204,$0 ,74,"$185,049 ",154,$0 ,48,"$417,992 ",556,$0 ,47,"$761,577 ",690,"$6,138 ",47,"$671,395 ",447,"$8,910 ",44,"$285,116 ",512,$0 ,51,"$211,492 ",184,"$6,809 ",27,"$215,323 ",148,$0 ,16,"$214,457 ",89,$0 
Retail,"1,217","$6,344,192","5,100","$1,754,709","1,655","$8,391,802 ","9,643","$1,172,125 ","1,813","$7,448,019 ","6,715","$1,042,934 ","2,705","$13,470,209 ","14,734","$1,320,106 ","3,094","$10,963,892 ","13,001","$1,227,735 ","2,856","$14,170,135 ","18,280","$1,008,599 ","3,061","$14,734,605 ","17,023","$854,171 ","3,094","$11,938,707 ","13,250","$928,169 ","3,011","$14,706,333 ","14,623","$829,071 ","2,840","$12,637,751 ","14,562","$621,971 ",2924,"$15,319,325 ",17405,"$859,718 ","3,148","$15,611,767 ","17,970","$1,429,810 "
Temporary Help,143,"$3,581,683","1,775","$1,048,139",266,"$9,251,121 ","4,478","$2,121,782 ",400,"$8,192,262 ","6,764","$438,310 ",471,"$2,602,223 ","4,883","$152,470 ",347,"$1,826,879 ","2,832","$101,914 ",357,"$4,383,824 ","5,929","$107,208 ",501,"$3,874,992 ","8,231","$56,982 ",457,"$9,446,128 ","9,003","$935,540 ",477,"$3,711,452 ","6,382","$287,164 ",391,"$2,443,421 ","5,278","$253,457 ",368,"$3,915,498 ",6009,"$22,029 ",360,"$3,226,420 ","6,312","$24,970 "
Trucking,582,"$1,130,950",790,"$4,266",813,"$1,931,426 ","3,886","$64,511 ",692,"$2,927,974 ","1,214","$18,205 ",696,"$5,055,844 ","1,880","$198,967 ",810,"$5,437,509 ","2,982","$39,840 ",714,"$4,247,295 ","5,498","$55,193 ",682,"$11,979,480 ","4,169","$49,151 ",779,"$9,424,076 ","5,395","$105,764 ",799,"$7,091,086 ","3,272","$84,628 ",733,"$4,703,052 ","2,900","$38,932 ",747,"$3,844,983 ",3583,"$24,638 ",873,"$7,247,635 ","11,009","$99,435 "
Utilities,38,"$653,441",179,"$80,154",58,"$128,981 ",219,$0 ,28,"$60,932 ",50,$0 ,37,"$252,334 ",214,"$6,786 ",34,"$780,764 ",501,$0 ,42,"$1,365,658 ",482,$0 ,32,"$1,332,206 ","1,572","$28,761 ",44,"$400,670 ","1,985",$0 ,33,"$1,569,708 ","1,094","$20,240 ",29,"$1,301,052 ",653,"$62,920 ",40,"$607,922 ",786,"$16,269 ",39,"$404,806 ",377,"$6,160 "
Warehousing,79,"$222,446",277,"$176,574",90,"$1,532,150 ","1,415","$3,586 ",93,"$245,024 ",159,$0 ,75,"$2,362,567 ","1,654","$9,222 ",53,"$76,333 ",89,$846 ,52,"$4,174,053 ","2,599","$19,279 ",66,"$399,969 ",381,"$11,103 ",52,"$194,226 ",232,"$6,732 ",50,"$318,552 ",196,$0 ,23,"$120,958 ",86,$748 ,40,"$129,882 ",115,$77 ,26,"$127,130 ",102,$0 
